C1	8.89	2.16	0.00	10uF	C0805K
C10	40.77	1.52	0.00	1uF	C0603K
C11	45.85	6.85	270.00	10uF	C0603K
C2	20.83	7.49	0.00	1.0uF	0603
C3	10.17	8.76	180.00	0.1uF	0603
C4	48.65	49.15	270.00	2.2uF	EIA3528
C5	52.84	53.59	270.00	100nf	C0603K
C6	51.95	49.27	90.00	1uf	C0805K
C7	50.55	53.59	270.00	100nf	C0603K
C8	48.14	53.59	270.00	100nf	C0603K
C9	46.11	2.54	270.00	100nf	C0603K
D1	39.88	6.22	90.00		SOD-323
Q1	13.34	48.46	180.00	2TY	SOT23-3
Q2	56.57	29.46	270.00	2TY	SOT23-3
Q3	51.44	4.44	0.00	IRF7319	SOIC127P600X175-8N
R0	55.25	32.51	180.00	1k	0603
R1	3.18	10.41	180.00	10k	0603
R10	48.65	10.28	0.00	1.2k	0603
R11	20.96	4.95	0.00	100	0603
R12	20.96	3.17	0.00	100	0603
R13	52.46	10.28	180.00	330	0603
R14	43.82	2.54	270.00	100k	0603
R15	40.77	3.43	180.00	10K	0603
R16	44.84	10.28	180.00	100k	0603
R17	43.95	6.98	90.00	300k	0603
R18	41.66	6.98	90.00	1k	0603
R2	6.99	48.89	90.00	10k	0603
R3	9.28	5.08	270.00	1.2k	0603
R4	25.79	25.65	180.00	100	0603
R5	9.53	10.92	180.00	100	0603-RES
R6	17.28	14.35	180.00	1k	0603
R7	25.79	27.68	180.00	100	0603
R8	13.21	51.56	0.00	100	0603
R9	53.73	29.46	90.00	10K	0603
U$1	15.04	4.61	270.00	DIO5158	SOIC-8
U$3	13.98	10.92	90.00	DW01-P	SOT23-6L
U$4	20.45	10.92	0.00	FS8205A	TSSOP8
U$7	56.52	43.43	180.00	AMS1117	SOT223
U$9	27.68	45.32	180.00	MICROSD-PUSH-OUT	MICROSD-PUSH-OUT
